name,google scholar link
Adam Bargteil,https://scholar.google.com/citations?user=fArWdfAAAAAJ&hl=en&oi=ao
Adam Bates 0001,https://scholar.google.com/citations?user=1dVglBkAAAAJ&hl=en&oi=ao
Adam Belay,https://scholar.google.com/citations?user=AKQec5wAAAAJ&hl=en&oi=ao
Adam Belloum,https://scholar.google.com/citations?user=tzFsIF4AAAAJ&hl=en&oi=ao
Adam Breuer,https://scholar.google.com/citations?user=1b3CsE4AAAAJ&hl=en&oi=ao
Adam Chlipala,https://scholar.google.com/citations?user=Imh0w3AAAAAJ&hl=en&oi=ao
Adam Czajka,https://scholar.google.com/citations?user=_OObpEkAAAAJ&hl=en&oi=ao
Adam D. Smith,https://scholar.google.com/citations?user=fkGi-JMAAAAJ&hl=en&oi=ao
Adam Doupé,https://scholar.google.com/citations?user=hsJqhNAAAAAJ&hl=en&oi=ao
Adam Dziedzic,https://scholar.google.com/citations?user=MRk-A4YAAAAJ&hl=en&oi=ao
Adam Finkelstein,https://scholar.google.com/citations?user=a959F6AAAAAJ&hl=en&oi=ao
Adam Hahn,https://scholar.google.com/citations?user=nGBlVWwAAAAJ&hl=en&oi=ao
Adam Herout,https://scholar.google.com/citations?user=qQDbJDMAAAAJ&hl=en&oi=ao
Adam J. Aviv,https://scholar.google.com/citations?user=ExgxufEAAAAJ&hl=en&oi=ao
Adam J. Lee,https://scholar.google.com/citations?user=1IoFK0oAAAAJ&hl=en&oi=ao
Adam Jatowt,https://scholar.google.com/citations?user=l2vn9GoAAAAJ&hl=en&oi=ao
Adam Krzyzak,https://scholar.google.com/citations?user=fYbg3F8AAAAJ&hl=en&oi=ao
Adam Lerner,https://scholar.google.com/citations?user=BkZor8wAAAAJ&hl=en&oi=ao
Adam Lopez,https://scholar.google.com/citations?user=u4sxKZwAAAAJ&hl=en&oi=ao
Adam M. Bates,https://scholar.google.com/citations?user=1dVglBkAAAAJ&hl=en&oi=ao
Adam M. Smith 0001,https://scholar.google.com/citations?user=78OLNd4AAAAJ&hl=en&oi=ao
Adam M. White,https://scholar.google.com/citations?user=1GqGhcsAAAAJ&hl=en&oi=ao
Adam Marshall Smith,https://scholar.google.com/citations?user=78OLNd4AAAAJ&hl=en&oi=ao
Adam Morrison 0001,https://scholar.google.com/citations?user=GMEoZR0AAAAJ&hl=en&oi=ao
Adam O'Neill,https://scholar.google.com/citations?user=SIFRrBIAAAAJ&hl=en&oi=ao
Adam P. Chester,https://scholar.google.com/citations?user=ogEgU6HzEJQC&hl=en&oi=ao
Adam Perer,https://scholar.google.com/citations?user=wAxr6b8AAAAJ&hl=en&oi=ao
Adam Przepiórkowski,https://scholar.google.com/citations?user=volQDFMAAAAJ&hl=en&oi=ao
Adam Prügel-Bennett,https://scholar.google.com/citations?user=oQgxYjkAAAAJ&hl=en&oi=ao
Adam R. Klivans,https://scholar.google.com/citations?user=UD87zMYAAAAJ&hl=en&oi=ao
Adam Richard Klivans,https://scholar.google.com/citations?user=UD87zMYAAAAJ&hl=en&oi=ao
Adam S. Z. Belloum,https://scholar.google.com/citations?user=tzFsIF4AAAAJ&hl=en&oi=ao
Adam W. Bargteil,https://scholar.google.com/citations?user=fArWdfAAAAAJ&hl=en&oi=ao
Adam Wade Bargteil,https://scholar.google.com/citations?user=fArWdfAAAAAJ&hl=en&oi=ao
Adam White 0001,https://scholar.google.com/citations?user=1GqGhcsAAAAJ&hl=en&oi=ao
Adam Wierman,https://scholar.google.com/citations?user=4OvOdSgAAAAJ&hl=en&oi=ao
Adam Wolisz,https://scholar.google.com/citations?user=Gq8gWX4AAAAJ&hl=en&oi=ao
Adel Cherif,https://scholar.google.com/citations?user=obJnqXUAAAAJ&hl=en&oi=ao
Adel Elmaghraby,https://scholar.google.com/citations?user=84U09_IAAAAJ&hl=en&oi=ao
Adel Said Elmaghraby,https://scholar.google.com/citations?user=84U09_IAAAAJ&hl=en&oi=ao
Adele A. Rescigno,https://scholar.google.com/citations?user=PtEkQRAAAAAJ&hl=en&oi=ao
Adele Anna Rescigno,https://scholar.google.com/citations?user=PtEkQRAAAAAJ&hl=en&oi=ao
Adelinde M. Uhrmacher,https://scholar.google.com/citations?user=NIyd6aoAAAAJ&hl=en&oi=ao
Adenilso Simão,https://scholar.google.com/citations?user=gdT5wnMAAAAJ&hl=en&oi=ao
Adenilso da Silva Simão,https://scholar.google.com/citations?user=gdT5wnMAAAAJ&hl=en&oi=ao
Adenilton J. da Silva,https://scholar.google.com/citations?user=dsUDyCMAAAAJ&hl=en&oi=ao
Adenilton José da Silva,https://scholar.google.com/citations?user=dsUDyCMAAAAJ&hl=en&oi=ao
Adi Akavia,https://scholar.google.com/citations?user=ogugwmEAAAAJ&hl=en&oi=ao
Adi Shamir,https://scholar.google.com/citations?user=EHLBP20AAAAJ&hl=en&oi=ao
Adiel Almeida Filho,https://scholar.google.com/citations?user=Nu7-rIYAAAAJ&hl=en&oi=ao
Adiel Teixeira de Almeida Filho,https://scholar.google.com/citations?user=Nu7-rIYAAAAJ&hl=en&oi=ao
Adil Ahmad,https://scholar.google.com/citations?user=BYJEZ4kAAAAJ&hl=en&oi=ao
Adilson Elias Xavier,https://scholar.google.com/citations?user=uTO_O_8AAAAJ&hl=en&oi=ao
Adish Singla [SWS],https://scholar.google.com/citations?user=kXz2seUAAAAJ&hl=en&oi=ao
Adithya Kumar Pediredla,https://scholar.google.com/citations?user=ey6n20kAAAAJ&hl=en&oi=ao
Adithya Pediredla,https://scholar.google.com/citations?user=ey6n20kAAAAJ&hl=en&oi=ao
Aditi Majumder,https://scholar.google.com/citations?user=tXhqJv0AAAAJ&hl=en&oi=ao
Aditi Raghunathan,https://scholar.google.com/citations?user=Ch9iRwQAAAAJ&hl=en&oi=ao
Aditya Akella,https://scholar.google.com/citations?user=d_rxnzAAAAAJ&hl=en&oi=ao
Aditya Bhaskara,https://scholar.google.com/citations?user=tqxTaiAAAAAJ&hl=en&oi=ao
Aditya Challa,https://scholar.google.com/citations?user=_XkD5AkAAAAJ&hl=en&oi=ao
Aditya G. Parameswaran,https://scholar.google.com/citations?user=VeB3UbcAAAAJ&hl=en&oi=ao
Aditya Gilra,https://scholar.google.com/citations?user=VpxnuTgAAAAJ&hl=en&oi=ao
Aditya Grover,https://scholar.google.com/citations?user=oOhnPUgAAAAJ&hl=en&oi=ao
Aditya Johri,https://scholar.google.com/citations?user=Mv2dCeEAAAAJ&hl=en&oi=ao
Aditya Mathur,https://scholar.google.com/citations?user=DdQMeHoAAAAJ&hl=en&oi=ao
Aditya Nigam,https://scholar.google.com/citations?user=ffSpknUAAAAJ&hl=en&oi=ao
Aditya P. Mathur,https://scholar.google.com/citations?user=DdQMeHoAAAAJ&hl=en&oi=ao
Aditya Tatu,https://scholar.google.com/citations?user=f0nqLS8AAAAJ&hl=en&oi=ao
Aditya Thakur,https://scholar.google.com/citations?user=x8952qgAAAAJ&hl=en&oi=ao
Aditya Thakur 0001,https://scholar.google.com/citations?user=x8952qgAAAAJ&hl=en&oi=ao
Aditya V. Thakur,https://scholar.google.com/citations?user=x8952qgAAAAJ&hl=en&oi=ao
Adji B. Dieng,https://scholar.google.com/citations?user=ZCniP_MAAAAJ&hl=en&oi=ao
Adji Bousso Dieng,https://scholar.google.com/citations?user=ZCniP_MAAAAJ&hl=en&oi=ao
Adlen Ksentini,https://scholar.google.com/citations?user=U6YFwO4AAAAJ&hl=en&oi=ao
Adnan Darwiche,https://scholar.google.com/citations?user=pygPWvEAAAAJ&hl=en&oi=ao
Adnan Ozsoy,https://scholar.google.com/citations?user=Ic73aUUAAAAJ&hl=en&oi=ao
Adnan Siraj Rakin,https://scholar.google.com/citations?user=ZCEVPxUAAAAJ&hl=en&oi=ao
Adnan Yazici,https://scholar.google.com/citations?user=ebJH_QwAAAAJ&hl=en&oi=ao
Adolfo Muñoz,https://scholar.google.com/citations?user=H8bBlDkAAAAJ&hl=en&oi=ao
Adolfo Piperno,https://scholar.google.com/citations?user=4y2zqO8AAAAJ&hl=en&oi=ao
Adrian Dumitrescu,https://scholar.google.com/citations?user=cjVwVpsAAAAJ&hl=en&oi=ao
Adrian F. Clark,https://scholar.google.com/citations?user=FESbZq0AAAAJ&hl=en&oi=ao
Adrian Francalanza,https://scholar.google.com/citations?user=2KyiwjEAAAAJ&hl=en&oi=ao
Adrian Friday,https://scholar.google.com/citations?user=co0YRmIAAAAJ&hl=en&oi=ao
Adrian G. Bors,https://scholar.google.com/citations?user=cvdyalUAAAAJ&hl=en&oi=ao
Adrian Hilton 0001,https://scholar.google.com/citations?user=vTIYTNQAAAAJ&hl=en&oi=ao
Adrian P. Lauf,https://scholar.google.com/citations?user=fU0XrdEAAAAJ&hl=en&oi=ao
Adrian Paschke,https://scholar.google.com/citations?user=D_ZARycAAAAJ&hl=en&oi=ao
Adrian Perrig,https://scholar.google.com/citations?user=n-Oret4AAAAJ&hl=en&oi=ao
Adrian R. Pearce,https://scholar.google.com/citations?user=GIBSIRAAAAAJ&hl=en&oi=ao
